,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
2619,Browns,10.0,191.387726906669,20073.9915995473,Healthcare,63.795908968889705,Yes,314.659543597638,Yes,Male,After_16:00,0.21464566676877397,0.0550390761345625,484.74284983240096,1.21249693445861,51.030638744123294,5.2170000000000005,4783.0,26.0902926791459,382.356421758973,3911.30827949433,45145.4795311067,Maybe,99010.6283770741,19.553936221614602,241.088754937461,70.1965637970716,4143.71391013575,80.0,Below_30,2.0,575.755289360862,8.0,Foot_or_bicycle,Public_Sector,400.337110836045,0.0,Yes
3624,Purples,10.0,651.051397936343,113636.79623627,Environment,217.017132645448,Yes,523.630530230644,No,Male,By_16:00,0.44277056166902207,0.23712759534828398,983.340000268072,3.75432399334386,41.3843238493428,5.129,4871.0,31.420822651125498,481.630648878077,6199.5666000626,59131.2981813808,Maybe,274188.93218962604,21.9460850467248,31.157517668600804,90.0306828552857,47323.4529942973,90.0,30-45,2.0,740.1594904310209,11.0,Motorcycle_or_truck,Student_or_Unemployed,508.657706835374,1.0,No
7809,Purples,7.0,613.570415233398,77561.6879329095,Financial,204.523471744466,Yes,379.23123087709,Yes,Female,By_16:00,0.23024303978309,0.0342188295908272,11.7859507445246,3.8647274882532696,51.254473766311996,2.372,7628.0,64.593380689621,443.09385345880895,4678.50001568851,52615.8365003484,Maybe,143816.326472552,21.0497946179722,137.729382267961,22.960246400907604,42044.3739661539,60.0,Below_30,2.0,669.781445520922,12.0,Car,Industry_or_other,466.14770864057,0.0,Yes
2298,Turquoises,9.0,720.008089012893,110140.82413819,Environment,240.002696337631,Yes,,Yes,Male,By_16:00,0.477681005140767,0.5966126115527,713.670524070039,1.9960632291622498,48.443423025310004,9.14,6860.0,75.4493045853451,420.401067062415,5429.9515819813005,42397.8245509273,Maybe,210602.92654761398,20.5036842314355,466.755029431446,90.9995096037164,57851.2969456707,90.0,45_and_up,1.0,445.21300102121904,11.0,Motorcycle_or_truck,Services_or_Retail,41.9210923729613,1.0,Yes
7164,Purples,,996.200170386563,150651.790678416,Social,332.066723462188,No,453.67927598313105,Yes,Female,By_16:00,0.85711656534113,0.961311287246644,269.643324892968,8.36640066234395,67.2510822303593,6.236000000000001,3764.0,11.518171802163101,421.580153591608,5379.95306701453,53673.7650957964,Yes,205824.88545657802,20.5324171395286,96.51921876292879,58.215299621224396,110610.375554375,70.0,Below_30,1.0,690.7640901080321,10.0,Motorcycle_or_truck,Hightech,531.948048554543,0.0,No
8436,Greys,9.0,222.921950025708,42048.0595395181,Foreign_Affairs,74.307316675236,No,565.867015805339,No,Male,After_16:00,0.15241503203287698,0.38035153970122293,187.561940634623,0.9552269708365201,58.424224168993504,6.707999999999999,5292.0,15.382657432928697,608.708660964988,6876.087479983361,70331.5483241603,Maybe,320205.47957643896,24.6720218256427,129.064454762076,48.008620576001704,5605.88462814904,40.0,Below_30,0.0,865.622674237512,10.0,Motorcycle_or_truck,Student_or_Unemployed,522.396355576976,1.0,Yes
2377,Greens,9.0,156.665776385056,16831.8387348859,Social,52.221925461685295,No,322.313637156777,Yes,Female,By_16:00,0.351951675955206,0.26901173382066196,485.64201476983703,,34.0363152092323,4.95,5050.0,1.35251400060952,560.71843656821,,65652.1090496521,No,103886.08069723,23.679494009970103,250.551880887369,13.6077959090471,2789.3514243875,70.0,Below_30,3.0,869.819310812504,9.0,,Hightech,665.882708370875,0.0,Yes
1950,Turquoises,7.0,349.87481924647597,28511.4082507847,Healthcare,116.624939748825,No,244.470936595462,Yes,Female,By_16:00,0.9681826271116729,0.65798259456642,,0.42025224771350606,4.26383439917117,6.059,9941.0,90.0684193708003,21.9597333246879,2488.628832604,7593.23835680835,Yes,59766.0388398625,4.68612135189518,689.9946548621069,95.41331832297149,13728.001511166001,80.0,45_and_up,3.0,80.7424573193839,10.0,Public_or_other,Hightech,73.06320733523721,0.0,Yes
3920,Pinks,4.0,153.321885833071,14020.5536781818,Environment,51.1072952776905,Yes,274.335661905046,Yes,Female,By_16:00,0.7058977968990799,0.398408134235069,880.048311781138,7.219193528871981,95.124816452153,3.3080000000000003,6692.0,58.2946463255212,354.113219339142,3451.5830577287397,44559.10422609981,Maybe,75260.0553928796,18.817896251684,268.729726358655,17.7203734172508,2673.0629258787303,90.0,Below_30,1.0,597.577646782313,10.0,Foot_or_bicycle,Student_or_Unemployed,502.88436637315993,0.0,Yes
2853,Greys,9.0,86.2086891459239,15526.923072541398,Military,28.736229715308,,540.3256873420021,No,Male,After_16:00,0.75409311009571,0.919325046939775,781.517751747742,3.67995063774288,33.5655564209446,4.289,7711.0,89.921907056123,571.474056512181,6546.20498644439,64060.9526336501,No,291951.848401607,23.9055235565377,130.796626143027,64.3577225739136,864.507127966256,30.0,Below_30,3.0,767.4351202008501,8.0,Public_or_other,Industry_or_other,398.151801211374,2.0,Yes
